numero_client,nom,prenom,sexe,date_naissance,email,telephone_mobile,adresse,code_postal,ville,iban,num_secu,statut_compte_courant,duree_credit_mois,historique_credit,objet_credit,montant_credit,epargne,anciennete_emploi,taux_effort,statut_personnel_sexe,autres_debiteurs,anciennete_logement,biens,age,autres_credits,logement,nb_credits_existants,emploi,nb_personnes_charge,telephone_declare,travailleur_etranger,defaut
FIN-100120,Laroche,Laurence,F,2000-03-18,laurence.laroche@orange.fr,+33703850506,"437, chemin Alexandre Lecomte",80375,Adamboeuf,FR8719113599660577980660392,237035819495279,solde < 100,21,crédits en cours sans incident,électroménager,1835,épargne < 100,1-4 ans,3,femme : divorcée/séparée/mariée,aucun,2,immobilier,25,aucun,propriétaire,2,employé qualifié,1,oui,oui,1
FIN-100616,Martineau,Gilbert,M,1998-07-23,gilbert.martineau@orange.fr,0634864518,rue Martin Paul,11906,Fabre,FR7457449653916077004093045,158013018941328,solde 100-200,60,retards de paiement passés,électroménager,9157,pas d'épargne connue,1-4 ans,2,homme : célibataire,aucun,2,aucun bien connu,27,aucun,logé gratuitement,1,cadre / indépendant,1,non,oui,0
FIN-100025,Hoareau,Charles,M,1989-11-19,charles.hoareau@orange.fr,0613983735,"229, chemin Chauvin",27943,Pelletier-les-Bains,FR5768180978875439435353751,106116204105376,solde < 100,6,crédits en cours sans incident,audiovisuel,1374,épargne < 100,1-4 ans,1,homme : célibataire,aucun,2,immobilier,36,banque,propriétaire,1,non qualifié résident,1,oui,oui,0
FIN-100072,Godard,Laurent,M,06/07/1974,laurent.godard@outlook.fr,0647859696,rue de Thomas,36997,Clerc,FR8955029168154660241613944,174046005798230,solde < 100,8,compte critique / crédits ailleurs,mobilier/équipement,1164,épargne < 100,>= 7 ans,3,homme : célibataire,aucun,4,aucun bien connu,51,banque,logé gratuitement,2,cadre / indépendant,2,oui,oui,0
FIN-100532,Loiseau,Jules,M,1984-11-14,jules.loiseau@free.fr,0778817884,chemin de Menard,13654,Daniel-les-Bains,FR1667086665622419768784947,263036912364671,pas de compte courant,12,retards de paiement passés,voiture occasion,1503,épargne < 100,,4,homme : marié/veuf,aucun,4,immobilier,41,aucun,locataire,1,employé qualifié,1,non,oui,0
FIN-100044,Goncalves,Jacqueline,F,1967-10-09,jacqueline.goncalves@gmail.com,0618501631,"63, rue Carre",76362,Benoit,FR2752118237931269789307464,248091501476282,solde < 100,48,compte critique / crédits ailleurs,voiture occasion,6143,épargne < 100,>= 7 ans,4,femme : divorcée/séparée/mariée,aucun,4,aucun bien connu,58,magasins,logé gratuitement,2,non qualifié résident,1,non,oui,1
FIN-100296,Bègue,Claudine,F,2005-02-22,claudine.bègue@outlook.fr,0614351906,"9, rue Vincent Bonneau",26670,Gros-sur-Mer,FR3223552165058714692182192,216084523417351,pas de compte courant,12,crédits en cours sans incident,voiture occasion,4675,,< 1 an,1,femme : divorcée/séparée/mariée,aucun,4,véhicule ou autre,20,aucun,locataire,1,employé qualifié,1,non,oui,0
FIN-100199,Bodin,Gilles,M,1985-10-02,gilles.bodin@gmail.com,0610447898,"876, avenue Claudine Brun",97195,Gosselin-la-Forêt,FR3796392435885379821433952,211036544024520,solde 100-200,18,retards de paiement passés,audiovisuel,4297,épargne < 100,>= 7 ans,4,homme : divorcé/séparé,aucun,3,aucun bien connu,40,aucun,propriétaire,1,cadre / indépendant,1,oui,oui,1
FIN-100753,Alexandre,Susanne,F,2000-11-07,susanne.alexandre@free.fr,0650812473,"60, rue de Martin",19250,Sainte Émile,FR1115791150101626008026589,115124809516345,pas de compte courant,30,compte critique / crédits ailleurs,électroménager,5771,épargne < 100,4-7 ans,4,femme : divorcée/séparée/mariée,aucun,2,véhicule ou autre,25,aucun,propriétaire,2,employé qualifié,1,non,oui,0
FIN-100793,Letellier,Benjamin,M,30/05/1974,benjamin.letellier@outlook.fr,0777711837,"2, boulevard Dumont",19397,Sainte Aurélie-sur-Mer,FR1594454569729655619276713,234067505689535,solde > 200 ou salaire domicilié,24,crédits en cours sans incident,audiovisuel,2892,épargne < 100,>= 7 ans,3,homme : divorcé/séparé,aucun,4,aucun bien connu,51,aucun,logé gratuitement,1,employé qualifié,1,non,oui,0
FIN-100485,Rey,Zacharie,M,1978-06-02,zacharie.rey@gmail.com,0792124471,chemin de Henry,77235,Guibert-la-Forêt,FR9173535247841715949734493,176049205016793,solde 100-200,6,retards de paiement passés,voiture neuve,1209,épargne < 100,,4,homme : célibataire,aucun,4,épargne logement/assurance vie,47,aucun,propriétaire,1,cadre / indépendant,1,oui,oui,1
FIN-100209,Marie,Aimé,M,1970-02-20,aimé.marie@outlook.fr,0618114374,"55, boulevard René Buisson",50219,Hubert,FR8480418472426423642813190,108112923219739,pas de compte courant,12,crédits en cours sans incident,voiture occasion,,,4-7 ans,3,homme : célibataire,aucun,2,épargne logement/assurance vie,55,aucun,propriétaire,1,employé qualifié,1,non,non,0
FIN-100265,Grenier,Luc,M,09.04.1988,luc.grenier@free.fr,0781291428,boulevard Pasquier,82527,Lagarde,FR8842960807063369987950982,249012722989975,solde 100-200,15,crédits en cours sans incident,électroménager,802,épargne < 100,>= 7 ans,4,homme : célibataire,aucun,3,véhicule ou autre,37,aucun,propriétaire,1,employé qualifié,2,non,oui,1
FIN-100377,Chauvin,Laurent,M,01.09.1989,laurent.chauvin@outlook.fr,0779981364,"33, rue Michel Hubert",78250,Sainte Claudine-sur-Mer,FR9695217558517774127469211,191089761175112,pas de compte courant,7,retards de paiement passés,électroménager,846,pas d'épargne connue,>= 7 ans,3,homme : célibataire,aucun,4,aucun bien connu,36,aucun,logé gratuitement,1,employé qualifié,1,non,oui,0
FIN-100894,Guichard,Jules,M,1996-06-10,jules.guichard@orange.fr,0670243765,rue Bailly,97179,Dupuis,FR3634854039098468560669926,194080608804002,pas de compte courant,18,compte critique / crédits ailleurs,électroménager,1169,pas d'épargne connue,1-4 ans,4,homme : célibataire,aucun,3,épargne logement/assurance vie,29,aucun,propriétaire,2,employé qualifié,1,oui,oui,0
FIN-100788,Robert,Jérôme,M,1975-04-27,jérôme.robert@outlook.fr,0776291603,"652, rue de Maillet",23945,Carlier,FR6386760304093467541823688,276122808537856,solde 100-200,48,retards de paiement passés,reconversion,"6224,00",épargne < 100,>= 7 ans,4,homme : célibataire,aucun,4,aucun bien connu,50,aucun,logé gratuitement,1,employé qualifié,1,non,oui,1
FIN-100528,Descamps,Adrien,M,14.05.1994,adrien.descamps@gmail.com,+33708501657,"91, boulevard Sylvie Bruneau",53124,Hamon,FR8361255904610079230466001,255034221886959,solde < 100,36,crédits en cours sans incident,électroménager,2302,épargne < 100,1-4 ans,4,homme : divorcé/séparé,aucun,4,véhicule ou autre,31,aucun,locataire,1,employé qualifié,1,non,oui,1
FIN-100451,Besnard,Valentine,F,1996-07-24,valentine.besnard@free.fr,0769639382,"26, boulevard Boutin",58232,LombardBourg,FR3312259095668448237337912,119040608852425,pas de compte courant,6,crédits en cours sans incident,électroménager,518,épargne < 100,1-4 ans,3,femme : divorcée/séparée/mariée,aucun,1,immobilier,29,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100595,Dumas,Louise,F,1993-05-27,louise.dumas@orange.fr,0652085076,"25, rue Didier",71386,Saint Denisboeuf,FR8324388430217816780664315,234042923207187,solde 100-200,6,crédits Finova soldés,voiture neuve,931,épargne 100-500,< 1 an,1,femme : divorcée/séparée/mariée,aucun,1,épargne logement/assurance vie,32,magasins,propriétaire,1,non qualifié résident,1,non,oui,1
FIN-100745,De Sousa,William,M,1997-08-01,william.de-sousa@outlook.fr,0797232002,"458, rue Rousset",18916,Neveu-sur-Devaux,FR3383534581956572853533998,184073417225292,solde < 100,13,compte critique / crédits ailleurs,autre,1797,épargne < 100,,3,homme : célibataire,aucun,1,épargne logement/assurance vie,28,banque,propriétaire,2,non qualifié résident,1,non,oui,0
FIN-100965,Leroy,Hélène,F,07.08.1999,hélène.leroy@orange.fr,0733991297,boulevard de Ollivier,53589,David,FR0955999773793957955192474,157027654067884,solde 100-200,30,crédits en cours sans incident,électroménager,1715,pas d'épargne connue,1-4 ans,4,femme : divorcée/séparée/mariée,aucun,1,véhicule ou autre,26,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100526,Leleu,Céline,F,1994-06-28,céline.leleu@orange.fr,06 62 57 01 65,"19, rue Anouk Guillou",03448,RoyBourg,FR2518223879402620858174527,218118100467493,pas de compte courant,15,compte critique / crédits ailleurs,reconversion,1532,épargne 100-500,1-4 ans,4,femme : divorcée/séparée/mariée,aucun,3,véhicule ou autre,31,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100306,Faivre,Margaud,F,2001-04-16,margaud.faivre@orange.fr,0733565880,"6, rue Michelle Martin",28598,PineauBourg,FR6201536415471553132593678,271021730070068,pas de compte courant,30,crédits en cours sans incident,voiture occasion,,pas d'épargne connue,4-7 ans,2,femme : divorcée/séparée/mariée,aucun,4,épargne logement/assurance vie,24,magasins,locataire,1,non qualifié résident,1,non,oui,0
FIN-100319,Huet,Louise,F,1998-05-31,louise.huet@orange.fr,0670267288,"8, chemin Chauvin",14900,Sainte LucieBourg,FR0702927120539787137529883,193120912285641,solde < 100,15,retards de paiement passés,audiovisuel,3643,,>= 7 ans,1,femme : divorcée/séparée/mariée,aucun,4,épargne logement/assurance vie,27,aucun,propriétaire,2,non qualifié résident,1,non,oui,0
FIN-100060,Tanguy,Roger,M,1998-10-27,roger.tanguy@orange.fr,0734266179,"370, rue de Guilbert",22366,Mercierboeuf,FR5854358841834374018272795,276042309607932,solde 100-200,9,crédits en cours sans incident,autre,1391,épargne < 100,1-4 ans,2,homme : marié/veuf,aucun,1,immobilier,27,banque,propriétaire,1,employé qualifié,1,oui,Oui ,0
FIN-100482,Munoz,Louise,F,1968-08-29,louise.munoz@free.fr,0601061817,avenue Grondin,97658,Schmitt,FR7971245531290036221173277,268081106951423,solde < 100,30,crédits en cours sans incident,audiovisuel,3622,épargne > 1000,>= 7 ans,4,femme : divorcée/séparée/mariée,aucun,4,épargne logement/assurance vie,57,aucun,locataire,2,employé qualifié,1,oui,oui,0
FIN-100854,Henry,Georges,M,1980-04-04,georges.henry@gmail.com,07 56 75 66 18,"44, rue de Durand",28307,JeanBourg,FR0980183235306885684676780,172109205034315,pas de compte courant,36,retards de paiement passés,voiture neuve,10875,épargne < 100,>= 7 ans,2,homme : célibataire,aucun,2,véhicule ou autre,45,aucun,propriétaire,2,employé qualifié,2,oui,oui,0
FIN-100615,Jacques,Gilbert,M,1977-07-21,gilbert.jacques@free.fr,0725754090,"5, rue de Peron",50651,ChevalierBourg,FR0532895145634091858055811,260126544026274,solde 100-200,48,aucun crédit / tous soldés,autre,12204,pas d'épargne connue,1-4 ans,2,homme : célibataire,aucun,2,véhicule ou autre,48,banque,propriétaire,1,cadre / indépendant,1,oui,oui,0
FIN-100541,Dupuis,Thibaut,M,1965-04-23,thibaut.dupuis@outlook.fr,0659274523,"608, rue Céline Mathieu",04830,Rodrigues,FR5671616088197223996477183,261110608812874,pas de compte courant,24,retards de paiement passés,voiture neuve,2032,épargne < 100,>= 7 ans,4,homme : célibataire,aucun,4,aucun bien connu,60,aucun,logé gratuitement,2,employé qualifié,1,oui,oui,0
FIN-100428,Boutin,Joseph,M,2005-05-14,joseph.boutin@gmail.com,+33644885015,"58, rue Dorothée Gautier",74297,Lecomte,FR4647055491215164119556409,154115212100606,pas de compte courant,9,crédits en cours sans incident,audiovisuel,1313,épargne < 100,>= 7 ans,1,homme : célibataire,aucun,4,véhicule ou autre,20,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100184,Muller,Jérôme,M,28/03/1989,jérôme.muller@outlook.fr,0791085899,rue de Traore,84837,Reydan,FR8748235715586863956137230,287042432274175,solde 100-200,18,compte critique / crédits ailleurs,voiture neuve,884,épargne < 100,>= 7 ans,4,homme : célibataire,aucun,4,véhicule ou autre,36,banque,propriétaire,1,employé qualifié,2,oui,oui,1
FIN-100881,Lebreton,Alphonse,M,1977-11-01,alphonse.lebreton@free.fr,0669405396,"62, boulevard Isaac Joubert",11904,Gaudinnec,FR7330876477090676183762950,256056005773360,pas de compte courant,24,crédits en cours sans incident,voiture occasion,9277,pas d'épargne connue,1-4 ans,2,homme : divorcé/séparé,aucun,4,aucun bien connu,48,aucun,logé gratuitement,1,employé qualifié,1,oui,oui,0
FIN-100982,Godard,Zoé,F,1997-07-10,zoé.godard@outlook.fr,0699255027,"31, chemin Besnard",31638,Monniernec,FR6678852858986818439763090,249127401070325,solde > 200 ou salaire domicilié,21,crédits en cours sans incident,voiture neuve,2923,épargne 100-500,1-4 ans,1,femme : divorcée/séparée/mariée,aucun,1,véhicule ou autre,28,banque,propriétaire,1,cadre / indépendant,1,oui,oui,0
FIN-100599,Hebert,Benoît,M,1993-02-12,benoît.hebert@gmail.com,0644049639,"457, avenue Pelletier",43750,saint marcelville,FR4127662080820391702634443,278080407009514,pas de compte courant,24,retards de paiement passés,autre,3863,épargne < 100,1-4 ans,1,homme : célibataire,aucun,2,aucun bien connu,32,aucun,logé gratuitement,1,employé qualifié,1,non,oui,0
FIN-100906,Guillon,Augustin,M,2001-07-08,augustin.guillon@gmail.com,0635670860,"50, boulevard Lucie Garnier",29840,  Picard ,FR0383680601457923267148581,236062722984372,solde < 100,21,crédits en cours sans incident,voiture neuve,3763,pas d'épargne connue,4-7 ans,2,homme : célibataire,co-emprunteur,2,immobilier,24,aucun,propriétaire,1,non qualifié résident,1,non,non,0
FIN-100778,Baudry,Guillaume,M,06/06/1987,guillaume.baudry@gmail.com,0736186371,"92, chemin Clément",06607,Saint Antoineboeuf,FR2819351174555370627281673,143067728804378,pas de compte courant,36,compte critique / crédits ailleurs,voiture occasion,5711,épargne > 1000,>= 7 ans,4,homme : célibataire,aucun,2,véhicule ou autre,38,aucun,propriétaire,2,cadre / indépendant,1,oui,oui,0
FIN-100261,Fouquet,Chantal,F,1970-09-16,chantal.fouquet@orange.fr,0755231491,"132, rue Nicolas Allard",67119,Sainte Jeannenec,FR7081572450000001529113717,232024900745067,solde < 100,24,crédits en cours sans incident,électroménager,1603,,>= 7 ans,4,femme : divorcée/séparée/mariée,aucun,4,véhicule ou autre,55,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100342,Lebon,Yves,M,2000-09-27,yves.lebon@outlook.fr,0727031207,boulevard Anne Dufour,21187,Renault-la-Forêt,FR9082217588397857082004806,196127728886454,solde 100-200,18,crédits en cours sans incident,électroménager,3213,épargne 500-1000,< 1 an,1,homme : marié/veuf,aucun,3,immobilier,25,aucun,locataire,1,employé qualifié,1,non,oui,0
FIN-100522,Maréchal,Vincent,M,10.11.1972,vincent.maréchal@orange.fr,+33690600780,avenue Adrienne Laroche,68721,Launay,FR5792327379897906085481867,188083523834939,solde < 100,48,aucun crédit / tous soldés,audiovisuel,7119,épargne < 100,1-4 ans,3,homme : célibataire,aucun,4,aucun bien connu,53,aucun,logé gratuitement,2,employé qualifié,2,non,oui,1
FIN-100237,Boulanger,Luc,M,1964-05-11,luc.boulanger@outlook.fr,0680571983,chemin Gilles Chevallier,54122,SAINT CLAIRE,FR0766186323979137876553007,225042505622242,solde 100-200,21,crédits en cours sans incident,autre,2767,épargne 100-500,>= 7 ans,4,homme : divorcé/séparé,aucun,2,véhicule ou autre,61,banque,locataire,2,non qualifié résident,1,non,oui,1
FIN-100110,Hoarau,Charles,M,1994-10-02,charles.hoarau@orange.fr,0627588425,"53, boulevard Louis",42126,Sainte Grégoiredan,FR6698894256529060320203265,184099205055473,solde 100-200,6,retards de paiement passés,autre,1449,épargne 100-500,>= 7 ans,1,homme : divorcé/séparé,aucun,2,véhicule ou autre,31,banque,propriétaire,2,employé qualifié,2,non,oui,0
FIN-100497,Bonnin,Henri,M,1985-05-25,henri.bonnin@orange.fr,0718478700,"89, rue Matthieu Bouchet",69146,Chauveau-les-Bains,FR8408581810450243736158736,294039402803478,pas de compte courant,24,compte critique / crédits ailleurs,audiovisuel,1585,épargne < 100,4-7 ans,4,homme : célibataire,aucun,3,épargne logement/assurance vie,40,aucun,propriétaire,2,employé qualifié,1,non,oui,0
FIN-100516,Lévêque,Noël,M,1985-09-24,noël.lévêque@free.fr,0662397265,"79, rue Charles",23119,Sainte Lorraine,FR1545598516021191589126864,205099122807827,solde < 100,6,compte critique / crédits ailleurs,voiture neuve,1361,épargne < 100,< 1 an,2,homme : célibataire,aucun,4,immobilier,40,aucun,propriétaire,1,non qualifié résident,2,non,non,0
FIN-100361,Valette,Arthur,M,1988-08-26,arthur.valette@gmail.com,0653910371,"24, rue Nicole Poirier",97331,Costanec,FR6959680785254824218385454,244034900797636,solde > 200 ou salaire domicilié,12,crédits en cours sans incident,électroménager,3399,pas d'épargne connue,,2,homme : célibataire,aucun,3,véhicule ou autre,37,aucun,propriétaire,1,cadre / indépendant,1,non,oui,0
FIN-100429,Dupuy,Susanne,F,21/03/1970,susanne.dupuy@orange.fr,0769902355,rue Bernard Leconte,97456,Georges,FR6119693957875207020426201,174020506161878,solde < 100,18,compte critique / crédits ailleurs,études,1190,épargne < 100,sans emploi,2,femme : divorcée/séparée/mariée,aucun,4,aucun bien connu,55,aucun,logé gratuitement,3,sans emploi / non qualifié non résident,2,non,oui,1
FIN-100242,Leroy,Jacques,M,2001-06-12,jacques.leroy@outlook.fr,0705720259,"24, rue Danielle Martins",03980,MichaudBourg,FR4946154021190170756814298,223036912387259,solde < 100,48,aucun crédit / tous soldés,voiture occasion,4605,épargne < 100,>= 7 ans,3,homme : célibataire,aucun,4,aucun bien connu,24,aucun,logé gratuitement,2,employé qualifié,2,non,oui,1
FIN-100277,Pichon,Matthieu,M,1976-06-30,matthieu.pichon@orange.fr,0659136517,rue Valette,43716,BonninVille,FR9503083566910627153123455,119082123198079,solde < 100,12,crédits en cours sans incident,audiovisuel,1262,,>= 7 ans,2,homme : divorcé/séparé,aucun,4,épargne logement/assurance vie,49,aucun,propriétaire,1,non qualifié résident,1,oui,oui,0
FIN-100260,Dupré,Hugues,M,1998-09-06,hugues.dupré@free.fr,0781414139,"449, chemin Jeanne Teixeira",91162,ColinVille,FR2158814458220673231829716,200091411811486,solde < 100,12,crédits en cours sans incident,audiovisuel,1657,épargne < 100,1-4 ans,2,homme : célibataire,aucun,2,immobilier,27,aucun,propriétaire,1,employé qualifié,1,non,oui,0
FIN-100832,Bouvier,Auguste,M,1996-09-22,auguste.bouvier@gmail.com,0714150937,"9, rue Lemaire",35993,Légerdan,FR1356119989965118158374661,236010506162623,solde < 100,45,aucun crédit / tous soldés,autre,11816,épargne < 100,>= 7 ans,2,homme : célibataire,aucun,4,véhicule ou autre,29,aucun,locataire,2,employé qualifié,1,non,oui,1
FIN-100796,Leblanc,Michel,M,1974-11-07,michel.leblanc@gmail.com,0752308370,"34, chemin Diallo",97256,Fleurynec,FR9330411761421524831968636,294103306349535,solde < 100,18,crédits en cours sans incident,voiture occasion,7511,pas d'épargne connue,>= 7 ans,1,homme : célibataire,aucun,4,épargne logement/assurance vie,51,aucun,logé gratuitement,1,employé qualifié,2,oui,oui,1
FIN-100644,Delorme,Alfred,M,1993-08-03,alfred.delorme@free.fr,0759152017,"63, boulevard Marcelle Laurent",01300,Normand,FR9700127622398474225678718,260084809558223,solde < 100,18,compte critique / crédits ailleurs,électroménager,1880,épargne < 100,4-7 ans,4,homme : marié/veuf,aucun,1,épargne logement/assurance vie,32,aucun,propriétaire,2,cadre / indépendant,1,oui,oui,0
FIN-100404,Costa,Alexandre,M,1982-09-24,alexandre.costa@orange.fr,0757366096,"67, avenue de Gérard",64213,Voisin-la-Forêt,FR4781165993020203042322775,255128519153787,solde 100-200,18,retards de paiement passés,voiture neuve,2899,pas d'épargne connue,>= 7 ans,4,homme : célibataire,aucun,4,véhicule ou autre,43,aucun,propriétaire,1,employé qualifié,2,non,oui,0
FIN-100842,Nguyen,Jacqueline,F,2002-03-28,jacqueline.nguyen@free.fr,0727178333,"70, rue Bourdon",97175,Saint ThibautBourg,FR9055530153030440778110965,169044019252535,pas de compte courant,18,crédits en cours sans incident,études,1943,épargne < 100,< 1 an,4,femme : divorcée/séparée/mariée,aucun,4,immobilier,23,aucun,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100835,Delattre,Timothée,M,10/09/1977,timothée.delattre@orange.fr,0796555535,"37, rue Vincent",62314,Saint MauriceVille,FR8347398622140513186604747,123018708568644,solde < 100,12,aucun crédit / tous soldés,voiture neuve,1082,épargne < 100,1-4 ans,4,homme : célibataire,aucun,4,véhicule ou autre,48,banque,propriétaire,2,employé qualifié,1,non,oui,1
FIN-100137,Regnier,Étienne,M,1959-07-20,étienne.regnier@outlook.fr,0680657875,"940, avenue de Colin",30889,Delmasnec,FR6098250800463580688285031,202059205016895,solde 100-200,12,crédits en cours sans incident,électroménager,766,épargne 500-1000,1-4 ans,4,homme : célibataire,aucun,3,immobilier,66,aucun,propriétaire,1,non qualifié résident,1,non,oui,1
FIN-100534,Samson,Matthieu,M,2000-07-09,matthieu.samson@gmail.com,0641124127,"67, rue Henriette Royer",19287,Renault-sur-Lévêque,FR7240466821215649525492064,266067654092985,pas de compte courant,24,crédits en cours sans incident,électroménager,3105,pas d'épargne connue,< 1 an,4,homme : célibataire,aucun,2,véhicule ou autre,25,aucun,propriétaire,2,employé qualifié,1,non,oui,0
FIN-100495,Denis,Matthieu,M,2005-11-10,matthieu.denis@gmail.com,0663461571,chemin Arnaud,49338,Schmitt,FR0279055286693351588070532,269015110841044,solde < 100,24,crédits en cours sans incident,audiovisuel,2996,pas d'épargne connue,1-4 ans,2,homme : marié/veuf,aucun,4,véhicule ou autre,20,aucun,propriétaire,1,employé qualifié,1,non,oui,1
FIN-100244,Blin,Dorothée,F,1990-06-16,dorothée.blin@free.fr,0628182688,rue Gay,31306,Grenier,FR5906396384526969443916497,270069720928106,pas de compte courant,12,crédits Finova soldés,activité professionnelle,3447,épargne 500-1000,1-4 ans,4,femme : divorcée/séparée/mariée,aucun,3,immobilier,35,aucun,propriétaire,1,non qualifié résident,2,non,oui,0
FIN-100770,Hervé,Anastasie,F,1999-11-22,anastasie.hervé@outlook.fr,0653544439,"88, chemin de De Oliveira",88578,Guillet,FR8971446956740687354453451,134124410965457,solde < 100,24,crédits en cours sans incident,voiture occasion,2812,pas d'épargne connue,>= 7 ans,2,femme : divorcée/séparée/mariée,aucun,4,immobilier,26,aucun,locataire,1,employé qualifié,1,non,oui,0
FIN-100530,Vincent,Lucas,M,1993-04-04,lucas.vincent@outlook.fr,0738179335,"19, rue Raymond Mercier",48363,Saint Josette-les-Bains,FR3276653446042276346019153,251077919108838,solde 100-200,36,crédits en cours sans incident,reconversion,2273,épargne < 100,4-7 ans,3,homme : célibataire,aucun,1,véhicule ou autre,32,aucun,propriétaire,2,employé qualifié,2,non,oui,0
FIN-100572,Vallet,Margaud,F,1999-06-06,margaud.vallet@free.fr,0728938911,"75, rue Thibaut Dubois",69272,  Lelièvre ,FR1019204877067693332998651,153049761172095,pas de compte courant,24,crédits en cours sans incident,voiture occasion,5433,pas d'épargne connue,sans emploi,2,femme : divorcée/séparée/mariée,aucun,4,épargne logement/assurance vie,26,aucun,locataire,1,cadre / indépendant,1,oui,oui,0
FIN-100827,Laroche,Roger,M,1989-04-04,roger.laroche@free.fr,06 95 24 36 40,"8, rue Robert",75293,Saint Charlotte,FR4117445776262636785089897,167106806651958,pas de compte courant,18,aucun crédit / tous soldés,autre,4165,épargne < 100,1-4 ans,2,homme : célibataire,aucun,2,véhicule ou autre,36,magasins,propriétaire,2,employé qualifié,2,non,oui,1
FIN-100411,Blondel,Aimé,M,1990-03-14,aimé.blondel@orange.fr,0645211175,"2, boulevard de Diaz",57405,Saint Laurent-les-Bains,FR5119623419964338532472505,129094410919039,pas de compte courant,33,compte critique / crédits ailleurs,voiture occasion,7253,,,3,homme : célibataire,aucun,2,véhicule ou autre,35,aucun,propriétaire,2,cadre / indépendant,1,oui,oui,0
FIN-100716,Gomez,Joseph,M,23/03/1985,joseph.gomez@outlook.fr,06 63 04 89 13,"614, rue de Maillard",86157,De Oliveira,FR4828986061065673374570165,238093523860763,pas de compte courant,30,compte critique / crédits ailleurs,électroménager,3077,pas d'épargne connue,>= 7 ans,3,homme : célibataire,aucun,2,véhicule ou autre,40,aucun,propriétaire,2,employé qualifié,2,oui,oui,0
FIN-100436,Rousset,Franck,M,2002-11-19,franck.rousset@outlook.fr,0631780782,"95, boulevard de Pierre",60319,Bernier,FR2135305970255128276364315,207108708502432,pas de compte courant,6,crédits en cours sans incident,études,660,épargne 500-1000,4-7 ans,2,homme : marié/veuf,aucun,4,immobilier,23,aucun,locataire,1,non qualifié résident,1,non,oui,0
FIN-100859,Teixeira,Thomas,M,1999-11-07,thomas.teixeira@gmail.com,0685962630,chemin de Guyon,73260,Saint ClémenceVille,FR9034927668098460180403348,171105050227525,pas de compte courant,9,crédits en cours sans incident,voiture neuve,3577,,1-4 ans,1,homme : célibataire,garant,2,immobilier,26,aucun,locataire,1,employé qualifié,2,non,non,0
FIN-100808,Maillard,Marc,M,13/07/1970,marc.maillard@free.fr,0774326303,chemin Madeleine Renaud,86240,Sainte Marcel,FR4009645987240899217735166,199036444515293,solde 100-200,42,crédits Finova soldés,voiture occasion,9283,épargne < 100,sans emploi,1,homme : célibataire,aucun,2,aucun bien connu,55,banque,logé gratuitement,1,cadre / indépendant,1,oui,oui,0
FIN-100371,Brun,Julien,M,1992-11-13,julien.brun@gmail.com,0610752245,"76, avenue Aimé Morel",87817,Coulon-sur-Boyer,FR2740384531980746823546951,124036544044509,pas de compte courant,18,compte critique / crédits ailleurs,électroménager,6070,,>= 7 ans,3,homme : célibataire,aucun,4,véhicule ou autre,33,aucun,propriétaire,2,employé qualifié,1,oui,oui,0
FIN-100078,Lecoq,Grégoire,M,24.02.1986,grégoire.lecoq@outlook.fr,0668876767,"92, chemin Léon Marie",62882,Hamel,FR3669455158886367747226408,154085626063595,pas de compte courant,54,aucun crédit / tous soldés,voiture occasion,9436,pas d'épargne connue,1-4 ans,2,homme : célibataire,aucun,2,épargne logement/assurance vie,39,aucun,propriétaire,1,non qualifié résident,2,non,oui,0
FIN-100029,Olivier,Sébastien,M,1962-08-04,sébastien.olivier@gmail.com,0655609320,"34, chemin Lacombe",52911,Hebert,FR6191015767647229812099576,220119741195372,solde < 100,60,retards de paiement passés,autre,6836,épargne < 100,,3,homme : célibataire,aucun,4,aucun bien connu,63,aucun,propriétaire,2,employé qualifié,1,oui,oui,1
FIN-100380,Pottier,Henri,M,1986-11-11,henri.pottier@free.fr,06 76 93 89 83,"190, rue de Guibert",26657,Jean,FR7201635640723247282895400,126125935001252,solde < 100,20,crédits en cours sans incident,audiovisuel,2212,pas d'épargne connue,4-7 ans,4,homme : célibataire,aucun,4,véhicule ou autre,39,aucun,propriétaire,1,employé qualifié,1,oui,oui,0
FIN-100280,Delmas,Émile,M,2002-06-06,émile.delmas@orange.fr,0624286990,"61, rue Pinto",37840,Saint Joséphine-les-Bains,FR6090859914492074926999699,295045110881760,pas de compte courant,15,compte critique / crédits ailleurs,voiture occasion,3368,,>= 7 ans,3,homme : célibataire,aucun,4,aucun bien connu,23,aucun,locataire,2,employé qualifié,1,oui,oui,0
FIN-100299,Vasseur,Marcel,M,1993-02-13,marcel.vasseur@gmail.com,0692053021,"29, chemin Tristan Dufour",45793,Fabre,FR1407152386767382097461917,259108619480259,solde 100-200,21,compte critique / crédits ailleurs,audiovisuel,2745,,4-7 ans,3,homme : célibataire,aucun,2,véhicule ou autre,32,aucun,propriétaire,2,employé qualifié,1,oui,oui,0
